GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReCollect,ua.tqs.ReCollect.service,CommentService,14,3,0,0,5,1,3,1,3,1
ReCollect,ua.tqs.ReCollect.service,ItemService,137,0,8,0,32,0,14,0,10,0
ReCollect,ua.tqs.ReCollect.service,MyUserDetailsService,70,0,4,0,13,0,7,0,5,0
ReCollect,ua.tqs.ReCollect.service,UserService,236,0,10,0,33,0,16,0,11,0
ReCollect,ua.tqs.ReCollect.service,LocationService,65,0,4,0,15,0,8,0,6,0
ReCollect,ua.tqs.ReCollect,WebSecurityConfiguration,126,0,0,0,26,0,4,0,4,0
ReCollect,ua.tqs.ReCollect,ReCollectApplication,6,3,0,0,2,1,1,1,1,1
ReCollect,ua.tqs.ReCollect,DataLoader,101,0,6,0,21,0,6,0,3,0
ReCollect,ua.tqs.ReCollect,SecurityConfiguration,0,7,0,0,0,2,0,2,0,2
ReCollect,ua.tqs.ReCollect.controller,FrontendWebController,446,0,16,0,96,0,29,0,21,0
ReCollect,ua.tqs.ReCollect.controller,ItemRestController,0,7,0,0,0,2,0,2,0,2
ReCollect,ua.tqs.ReCollect.controller,UserController,150,0,4,0,31,0,8,0,6,0
ReCollect,ua.tqs.ReCollect.controller,UserRestController,0,7,0,0,0,2,0,2,0,2
ReCollect,ua.tqs.ReCollect.controller,ItemController,64,0,0,0,13,0,3,0,3,0
